Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

111.36,11.0,96.8,40.0,108,97.17,61.4,
112.32,11.0,96.8,73.6,105,97.17,61.4,
113.28,11.2,96.8,68.2,108,97.12,61.4,
114.24,11.9,96.8,40.0,105,97.18,61.4,
115.2,13.3,96.8,40.0,96,97.17,61.4,
116.16,14.7,96.8,66.5,102,97.18,61.4,
117.12,16.2,96.8,76.6,96,97.16,61.4,
118.08,17.7,96.8,58.1,76,97.17,61.4,
119.04,19.0,96.8,40.0,74,97.17,61.4,
120,20.2,96.8,56.5,80,97.15,61.4,
120.96,21.4,96.8,40.0,78,97.19,61.4,
121.92,22.4,96.8,68.6,72,97.18,61.4,
122.88,23.4,96.8,69.6,82,97.14,61.4,
123.84,24.2,96.8,40.0,95,97.18,61.4,
124.8,25.0,96.8,46.6,97,97.18,61.4,
125.76,25.8,96.8,40.0,88,97.18,61.4,
126.72,26.4,96.8,44.8,90,97.18,61.4,
127.68,27.0,96.8,70.3,99,97.17,61.4,
128.64,27.5,96.8,55.3,116,97.16,61.3,
129.6,28.0,96.8,40.0,121,97.13,61.3,
130.56,28.4,96.8,73.4,120,97.15,61.3,
131.52,28.8,96.8,70.9,123,97.19,61.3,
132.48,29.2,96.8,40.0,124,97.19,61.3,
133.44,29.5,96.8,63.1,123,97.19,61.2,
134.4,29.8,96.7,65.3,123,97.18,61.2,
135.36,30.1,96.7,61.0,123,97.15,61.1,
136.32,30.3,96.7,41.7,123,97.17,61.1,
137.28,30.5,96.7,63.4,123,97.20,61.0,
138.24,30.7,96.7,44.2,124,97.17,61.0,
139.2,30.9,96.7,49.5,123,97.16,61.0,
140.16,31.1,96.7,74.2,121,97.17,60.9,
141.12,31.3,96.7,59.6,120,97.16,60.9,
142.08,31.4,96.7,58.1,123,97.16,60.9,
143.04,31.6,96.7,76.2,124,97.17,60.8,
144,31.7,96.7,40.0,126,97.18,60.8,
144.96,31.8,96.7,83.3,125,97.17,60.8,
145.92,31.9,96.7,52.2,125,97.18,60.7,
146.88,32.0,96.7,64.6,124,97.17,60.7,
147.84,32.1,96.7,66.1,123,97.18,60.7,
148.8,32.2,96.7,40.0,126,97.19,60.7,
149.76,32.3,96.7,58.1,117,97.18,60.7,
150.72,32.4,96.7,77.7,111,97.17,60.7,
151.68,32.4,96.7,72.2,104,97.15,60.7,
152.64,32.5,96.7,65.4,107,97.17,60.7,
153.6,32.6,96.7,40.0,109,97.14,60.6,
154.56,32.7,96.7,71.0,104,97.20,60.6,
